Name,Todo_s_For__c,Order__c,is_Major__c,Icon_Name__c,Done_Title__c,Status__c,Condition_match__c,Condition_1__c,Operator_1__c,Value_1__c,Condition_2__c,Operator_2__c,Value_2__c,Condition_3__c,Operator_3__c,Value_3__c
Application Form Completed,Customer,16,FALSE,SmallGreen,Application form completed,Done,,StageName,==,"CPA Done,Packs Out,Packs Back",,,,,,
Provide supporting information,Customer,17,FALSE,SmallGreen,Supporting information provided,Done,1 AND 2,# of docs outstanding,>,0,StageName,==,"CPA Done,Packs Out,Packs Back",,,
Provide bank transaction data,Customer,18,FALSE,SmallGreen,Bank data provided,Done,1 AND 2,StageName,==,"CPA Done,Packs Out,Packs Back",Bank Statement Data document request,==,Submitted,,,
Verify Identity,Customer,19,FALSE,SmallGreen,Identity verified,Done,1 AND 2 AND 3,StageName,==,"CPA Done,Packs Out,Packs Back",VOI_Type_For__c,==,"FULL,VOI",Case_Status__c,==,"Verified,Submitted"
Sign credit proposal,Customer,20,FALSE,SmallGreen,Credit proposal signed,Done,1 AND 2 AND 3,StageName,==,"CPA Done,Packs Out,Packs Back",VOI_Type_For__c,==,"FULL,E-SIGN",Case_Status__c,==,"Verified,Submitted"
Funding requested by,Customer,21,FALSE,SmallGreen,Funding requested by,Done,,,,,,,,,,
Funding authorised by,Customer,22,FALSE,SmallGreen,Funding authorised by,Done,,,,,,,,,,
Send application link to the customer,Referrer,23,FALSE,ReferrerTODO,Send applicaiton link to the customer,Required Now,1 AND 2,StageName,==,"Quote,Nurturing,Working",Send_the_quote_to__c,==,Me only,,,
Complete application,Customer,24,FALSE,SmallToDo,Complete application,Required Now,1 AND 2 AND 3,StageName,==,"Quote,Working,Nurturing",Current_Application_Sections__c,==,"Priorities,Loan Recommendation,Getting Started,Who is applying,Own and Owe ,Earn,Living Expenses,Preferences,Risk Assessment,Anticipated Changes to Circumstances",Send_the_quote_to__c,Equals,Me and my customer
Complete application,Customer,25,FALSE,SmallToDo,Complete application,Required Now,,StageName,==,CPA Started,,,,,,
Provide purchase quote(s) or invoice,Referrer,26,FALSE,ReferrerTODO,Provide purchase quote(s) or invoice,Required Now,1 AND 2,StageName,==,"CPA Started,CPA Done,Packs Out,Packs Back,Application,Submitted,Conditionally Approved,Conditional,Unconditional,Approved,Funding,","Document Requested with category ""Purchase Quote or Invoice""",==,Requested,,,
Provide supporting information,Customer,27,FALSE,SmallToDo,Provide supporting information,Required Now,1 AND 2,# of docs outstandin,>,0,StageName,==,"CPA Done,Packs Out,Packs Back,Application,Submitted	,Conditionally Approved,Conditional,Unconditional,Approved,Funding,Docs Signed,Settlement Booked",,,
Verify Identity,Customer,28,FALSE,SmallToDo,Verify Identity,Required Now,1 AND 2 AND 3,StageName,==,"CPA Done,Packs Out,Packs Back,Application,Submitted ,Conditionally Approved,Conditional,Unconditional,Docs Signed,Settlement Booked",VOI_Type_For__c,==,"FULL,VOI",Case_Status__c,==,"Sent,Delivered"
Sign credit proposal,Customer,29,FALSE,SmallToDo,Sign credit proposal,Required Now,1 AND 2 AND 3,StageName,==,"CPA Done,Packs Out,Packs Back,Application,Submitted	,Conditionally Approved,Conditional,Unconditional,Docs Signed,Settlement Booked",VOI_Type_For__c,==,"FULL,E-SIGN",Case_Status__c,==,"Sent,Delivered"
Submit to credit,ParkerLane,30,FALSE,SmallToDo,Submit to credit,Required Now,,StageName,==,Packs Back,,,,,,
Approve,Lender,31,FALSE,SmallToDo,Approve,Required Now,,StageName,==,"Application,Conditional",,,,,,
Request funding,Referrer,32,FALSE,ReferrerTODO,Request funding,Required Now,,StageName,==,Approved,,==,,,,
Issue Credit Contract,Lender,33,FALSE,SmallToDo,Issue credit contract,Required Now,,StageName,==,"Approved,Funding",,==,,,,
Authorise payment,Customer,34,FALSE,SmallToDo,Authorise payment,Required Now,,,,,,,,,,
Variation requested to increase limit,Lender,35,FALSE,ReferrerTODO,Variation requested to increase limit,Required Now,,,,,,,,,,
Approval expires in 10 days,Referrer,36,FALSE,ReferrerTODO,Approval expires in 10 days,Required Now,,StageName,==,"Approved,Funding",,,,,,
Fund,Lender,37,FALSE,SmallToDo,Fund,Required Now,,StageName,==,Funding,,!=,,,,
Complete application,Customer,38,FALSE,SmallGrey,Apply,Future,1 AND 2 AND 3,StageName,==,"Quote,Working,Nurturing",Current_Application_Sections__c,==,"Priorities,Loan Recommendation,Getting Started,Who is applying,Own and Owe	,Earn,Living Expenses,Preferences,Risk Assessment,Anticipated Changes to Circumstances",Send_the_quote_to__c,Equals,Me only
Submit to credit,ParkerLane,39,FALSE,SmallGrey,Submit to credit,Future,,StageName,==,"CPA Started,CPA Done,Packs Out",,,,,,
Approve,Lender,40,FALSE,SmallGrey,Approve,Future,,StageName,==,"Nurturing,Working,Quote,Deciding,CPA Started,CPA Done,Packs Out,Packs Back",,,,,,
Issue Credit Contract,Lender,41,FALSE,SmallGrey,Issue Credit Contract,Future,,StageName,,"Packs Back,Application",,,,,,
Request funding,Referrer,42,FALSE,SmallGrey,Request funding,Future,,StageName,==,"Application,Conditional",,,,,,
Authorise Payment,Customer,43,FALSE,SmallGrey,Authorise Payment,Future,,StageName,==,"Application,Conditional,Approved",,,,,,
Fund,Lender,44,FALSE,SmallGrey,Fund,Future,,StageName,==,"Nurturing,Working,Quote,Deciding,CPA Done,Packs Out,Packs Back,Application,Submitted,Conditionally Approved,Conditional,Unconditional,Approved,CPA Started,Funding",,,,,,
